id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,mae,r2,rmse,infer_batch_size_df_1,infer_batch_size_file_1,infer_batch_size_file_10,infer_batch_size_file_100,infer_batch_size_file_1000,infer_batch_size_file_10000
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,0,binary,0.989263,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T07:06:31,319.4,308.7,0.01,1.0,1670688,,0.985789,0.989263,0.870955,0.332869,,,,0.00125444,0.0100422,0.0100157,0.0117681,0.0170653,0.0504069
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,1,binary,0.965048,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T07:16:32,600.6,589.6,0.02,1.0,1670689,,0.982105,0.965048,0.50365,0.0580167,,,,0.00144827,0.0102918,0.0101459,0.0113928,0.0180116,0.0583413
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,2,binary,0.982708,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T07:24:17,464.9,453.8,0.01,1.0,1670690,,0.987368,0.982708,0.721288,0.0367335,,,,0.00121915,0.0131888,0.0128407,0.0109267,0.0173919,0.0506864
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,3,binary,0.984965,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T07:32:32,495.3,483.8,0.01,1.0,1670691,,0.983684,0.984965,0.848387,0.307093,,,,0.00193787,0.0117705,0.0116739,0.012629,0.0188549,0.0497341
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,4,binary,0.984243,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T07:43:09,636.5,624.6,0.04,1.0,1670692,,0.991316,0.984243,0.866603,0.0550281,,,,0.00149918,0.0105035,0.0104847,0.0112419,0.0179689,0.0787718
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,5,binary,0.97145,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T07:49:40,390.5,379.7,0.01,1.0,1670693,,0.990789,0.97145,0.813944,0.0364932,,,,0.00122702,0.0111806,0.0100164,0.0113106,0.0169015,0.0509646
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,6,binary,0.987077,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T08:14:36,1496.5,1485.3,0.03,1.0,1670694,,0.993553,0.987077,0.87225,0.0212946,,,,0.00209904,0.0119998,0.0118966,0.0125816,0.017817,0.0653071
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,7,binary,0.991967,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T08:21:11,394.4,383.5,0.01,1.0,1670695,,0.988816,0.991967,0.852057,0.149661,,,,0.00122714,0.0100129,0.00962687,0.0104823,0.0276268,0.060885
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,8,binary,0.976555,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T08:26:58,346.4,334.6,0.02,1.0,1670696,,0.981842,0.976555,0.5,0.0789135,,,,0.00152111,0.0105948,0.0103323,0.0109756,0.0154502,0.0525062
openml.org/t/168868,APSFailure,GeneticLLM_AutoML,5min8c_gp3,9,binary,0.989434,auc,local,stable,,"dev [master, 16091f9]",2024-10-29T08:37:32,633.5,620.5,0.07,1.0,1670697,,0.993421,0.989434,0.872183,0.0191494,,,,0.00190771,0.0117624,0.0116456,0.0130095,0.0241222,0.127693
openml.org/t/359929,Airlines_DepDelay_10M,GeneticLLM_AutoML,5min8c_gp3,0,regression,,neg_rmse,local,stable,,"dev [master, 16091f9]",2024-10-29T03:08:34,2771.9,,,,104568597,TypeError: 'NoneType' object is not iterable,,,,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,GeneticLLM_AutoML,5min8c_gp3,1,regression,,neg_rmse,local,stable,,"dev [master, 16091f9]",2024-10-29T03:54:45,2767.0,,,,104568598,TypeError: 'NoneType' object is not iterable,,,,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,GeneticLLM_AutoML,5min8c_gp3,2,regression,,neg_rmse,local,stable,,"dev [master, 16091f9]",2024-10-29T04:40:55,2764.8,,,,104568599,TypeError: 'NoneType' object is not iterable,,,,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,GeneticLLM_AutoML,5min8c_gp3,3,regression,,neg_rmse,local,stable,,"dev [master, 16091f9]",2024-10-29T04:47:22,382.7,,,,104568600,CalledProcessError: Command '/gpfs/scratch1/shared/joaquinv/llm_amlb/automlbenchmark/frameworks/GeneticLLM_AutoML/venv/bin/python -W ignore /gpfs/scratch1/shared/joaquinv/llm_amlb/automlbenchmark/fra…,,,,,,,,,,,,,
